Facility Number,F_NAME,HMIS,Province,District,Division,LOCATION,Sub-Location,Spatial Reference Method,Facility Type,Agency,Geolocation
755,NAIROBI MEDICAL CENTRE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
756,NAIROBI WEST HOSPITAL,,NAIROBI,NAIROBI,KIBERA,NAIROBI WEST,NAIROBI WEST,WAYUMBA,5,PRIV,"(-1.304238, 36.825058)"
757,NAKILI HEALTH CLINIC,2664,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
758,NAMANYA MEDICAL CLINIC & LAB SERVICES,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
759,NAWA MCH/FP CLINIC,2666,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
760,NEEMA MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
761,NEOTECH HEALTHCARE SERVICES,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
762,NEPAFOLDA MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
763,NEW RAFIKI MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
764,NEW RIRUTA MEDICAL CLINIC & LABORATORY,2669,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
765,NGARA CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
766,NGARA MEDICAL SERVICES LTD,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
767,NGEI I CLINIC,2671,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
768,NGOMONGO HURUMA CLINIC,2672,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
769,NGUMO MEDICAL SERVICES,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
770,NJERU KATHUNGU CLINIC,2673,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
771,NJIRU MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
772,NJORO MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
773,NORTHVIEW MEDICAL CENTRE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
774,ODYSSEY MEDICAL & DENTAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
775,OGWEDHI HEALTH CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
776,OLYMPIC MEDICAL & DENTAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
777,ONGATA RONGAI MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
778,ORTHODOX CLINIC OF RIRUTA,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
779,OUTER RING ROAD MEDICAL CENTRE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
780,OUTER SUBURBS CLINIC,2674,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
781,PANGANI CRESCENT MEDICAL AID CLINIC,2675,NAIROBI,NAIROBI,CENTRAL,KARIOKOR,PANGANI,WAYUMBA,6,PRIV,"(-1.263462, 36.83721)"
782,PANGANI MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
783,PANORAMA MEDICAL CENTRE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
784,PATRU MEDICAL CLINIC & LAB,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
785,PENNA DENTAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
786,PHILLIPS DISP,111,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,4,PRIV,
787,PIEMU MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
788,POPULATION & HEALTH SERVICES,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
789,PRECIOUS MEDICAL SERVICES,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
790,PREMIUM MEDICAL CENTRE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
791,PRIME CARE CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
792,PRIME PHYSIOTHERAPY & MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
793,PROF. TULA RB'S CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
794,PRUDENT CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
795,QUARRY MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
796,RAFIKI HEALTH CLINIC,2680,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
797,RED HILL MEDICAL CLINIC,3358,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
798,RESSA MEDICAL CLINICAL CHEMIST,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
799,REUBEN MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
800,REVIVAL MEDICAL & FAMILY PLANNING CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
801,RIGHT MEDICAL CENTRE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
802,RITTS COMMUNITY CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
803,RIVRON JUDE MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
804,ROUNDABOUT MEDICAL CENTRE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
805,ROYOLK MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
806,S S LEAGUE (DINSHAW BYRAMJEE),10,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
807,SALAMA MEDICAL CLINIC (SALAMED),,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
808,SAMARITAN MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
809,SANTAK MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
810,SAOLA MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
811,SAVANNAH SQUARE MEDICAL CLINICS,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
812,SEVENTH DAY ADVENTIST HEALTH SERVICES,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
813,SIKRI MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
814,SIMI MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
815,SIMS MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
816,SINO ACUPUNCTURE CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
817,SIRI GURU SIKH RAMGHARIA DISP,121,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,4,PRIV,
818,SOCIAL SERVICE LEAGUE DISP,125,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,4,PRIV,
819,ST LUKES CLINIC,2688,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
820,ST.  PETERS MEDICAL CENTRE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
821,ST. BRIGID MCH,3360,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,4,PRIV,
822,ST. CHRISTOPHER HEALTH SERVICES,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
823,ST. ELIZZAN CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
824,ST. FRANCIS MEDICAL CENTRE,4383,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
825,ST. JAMES HOSPITAL,,NAIROBI,NAIROBI,EMBAKASI,MUKURU KWA NJENGA,IMARA DAIMA,WAYUMBA,5,PRIV,"(-1.320719, 36.844222)"
826,ST. JAMES MEDICAL CENTRE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
827,ST. JOHNS HEALTH CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
828,ST. MARY'S MEDICAL DISP,2689,NAIROBI,NAIROBI,EMBAKASI,KAYOLE,KAYOLE,WAYUMBA,4,PRIV,"(-1.273841, 36.91358)"
829,ST. MONICA MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
830,ST. NICHOLAS HEALTH SERVICES,2690,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
831,ST. PATRICK MEDICAL & SURGICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
832,ST. PAUL MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
833,ST. THOMAS MEDICAL HEALTH SERVICES,,NAIROBI,NAIROBI,EMBAKASI,UMOJA,UMOJA,WAYUMBA,6,PRIV,"(-1.285351, 36.890638)"
834,ST. VERONICA HEALTH SERVICES & LABORATORY,2692,NAIROBI,NAIROBI,PUMWANI,BAHATI,UHURU,WAYUMBA,6,PRIV,"(-1.269265, 36.879288)"
835,STAR OF THE SEA HEALTH CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
836,SUGEMA MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
837,SUNRAY'S CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
838,SUNRISE MEDICAL CENTRE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
839,SUNSHINE CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
840,TABAKA MEDICAL CLINIC,2693,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
841,TAWAKAL MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
842,TEL-A-NURSE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
843,TENA MEDICAL CENTRE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
844,THATANA MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
845,THE LINCKS OF GOOD HEALTH,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
846,THE NAIROBI MEDICAL CONSULTING LTD,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
847,THE NOBLE CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
848,THERAPEUTIC CONSULTANCY SERVICES,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
849,TINGANGA MEDICAL CLINIC,2695,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
850,TRINITY MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
851,TROPICAL MEDICAL SERVICES,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
852,TRUST MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
853,TUMAINI MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
854,U N MED SURVEY CLINIC,2698,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
855,UMOJA II CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
856,UNIVERSAL HEALTH CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
857,UPENDO CLINIC,2699,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
858,UTHIRU CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
859,UTHIRU MEDICAL CENTRE CLINIC & LAB. SERVICES,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
860,UZIMA MEDICAL SERVICES,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
861,VIBIBEDI H/FP CLINIC,2701,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
862,VICKY MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
863,VICTORY CENTRAL MEDICAL CLINIC,,NAIROBI,NAIROBI,EMBAKASI,UMOJA,UMOJA,WAYUMBA,6,PRIV,"(-1.276054, 36.888094)"
864,WAGIKA MEDICAL CLINIC & LABORATORY,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
865,WAIMANI DISP,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,4,PRIV,
866,WAKIBE MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
867,WAMBUNGA MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
868,WAMUNGA HEALTH CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
869,WANANCHI CLINIC,2702,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
870,WANGU CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
871,"WANYEE DENTAL, MEDICAL & REPRODUCTIVE HEALTH SERVICES",,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
872,WESTLANDS COTTAGE HOSPITAL,164,NAIROBI,NAIROBI,WESTLANDS,LAVINGTON,MUTHANGARI,WAYUMBA,5,PRIV,"(-1.262842, 36.788914)"
873,WILMA CLINIC,2703,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
874,YAYA MEDICAL SERVICES,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
875,YOUTH HEALTH CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
876,ZIMMA HALL MEDICAL CENTRE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
877,ZIMMERMAN HEALTH & FAMILY PLANNING CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
878,ZIMMERMAN HEALTH CENTRE,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,3,PRIV,
879,ZIMMERMAN MEDICAL CLINIC,,NAIROBI,NAIROBI,,,,,,,
,,,,,,,,,6,PRIV,
33,BETHLEHEM MEDICAL CLINIC,,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,BAR KOWINO,GPS,6,PRIV,"(-0.09666, 34.27075)"
34,BONDO MEDICAL CENTRE,,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,BAR KOWINO,GPS,6,PRIV,"(-0.09567, 34.2749)"
35,BONDO TOWNSHIP CLINIC,,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,BAR KOWINO,GPS,6,PRIV,"(-0.10014, 34.27379)"
36,GOD HEALS CLINIC,,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,BAR KOWINO,GPS,6,PRIV,"(-0.09515, 34.26949)"
37,JOY CLINIC,,NYANZA,BONDO,USIGU,WEST YIMBO,USENGE,GPS,6,PRIV,"(-0.06351, 34.0542)"
38,JUNCTION MEDICAL CLINIC,,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,BAR KOWINO,GPS,6,PRIV,"(-0.09907, 34.27518)"
39,KAJLWAK CLINIC,,NYANZA,BONDO,BONDO,SOUTH SAKWA,NYAGUDA,GPS,6,PRIV,"(-0.23587, 34.21046)"
40,KALAJA MEDICAL CLINIC,,NYANZA,BONDO,MADIANY,SOUTH UYOMA,NAYA,GPS,6,PRIV,"(-0.382759, 34.284554)"
,KUNYA DISP,,NYANZA,BONDO,MADIANY,WEST UYOMA,,,,,
,,,,,,,,,4,PRIV,
41,LUKE OPONDO CLINIC,,NYANZA,BONDO,USIGU,NORTH YIMBO,NYAMONYE,GPS,6,PRIV,"(-0.02633, 34.1313)"
42,NDHERE MEDICAL CLINIC,,NYANZA,BONDO,RARIEDA,CENTRAL ASEMBO,RAMBA NORTH,GPS,6,PRIV,"(-0.06948, 34.38124)"
43,NDIGWA HEALTH CLINIC,,NYANZA,BONDO,MADIANY,SOUTH UYOMA,NDIGWA,GPS,6,PRIV,"(-0.33481, 34.32511)"
44,NDIGWA MEDICAL CLINIC,,NYANZA,BONDO,MADIANY,SOUTH UYOMA,NDIGWA,GPS,6,PRIV,"(-0.33454, 34.32474)"
45,NEW BONDO CLINIC,4247,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,BAR KOWINO,GPS,6,PRIV,"(-0.09706, 34.27583)"
30,OMBEWA CLINIC,,NYANZA,BONDO,RARIEDA,CENTRAL ASEMBO,RAMBA NORTH,ILRI MKT CENTRE,6,PRIV,"(-0.06709, 34.377796)"
46,OYUWA CLINIC,,NYANZA,BONDO,BONDO,BONDO TOWNSHIP,BAR KOWINO,GPS,6,PRIV,"(-0.09651, 34.27366)"
47,RARIEDA MEDICAL CLINIC,,NYANZA,BONDO,RARIEDA,EAST ASEMBO,OMIA DIERE,GPS,6,PRIV,"(-0.17965, 34.38422)"
48,SIWA CLINIC,,NYANZA,BONDO,USIGU,NORTH YIMBO,NYAMONYE,GPS,6,PRIV,"(-0.04784, 34.14748)"
32,ST. CAMILUS DISPENSARY CLINIC,4253,NYANZA,BONDO,MADIANY,SOUTH UYOMA,NAYA,ILRI VILLAGES,6,PRIV,"(-0.382786, 34.283903)"
49,UHANYA MEDICAL CLINIC,,NYANZA,BONDO,USIGU,WEST YIMBO,USENGE,GPS,6,PRIV,"(-0.097847, 34.063044)"
50,USENGE MEDICAL CENTRE,1380,NYANZA,BONDO,USIGU,WEST YIMBO,USENGE,GPS,6,PRIV,"(-0.06465, 34.05324)"
51,VICTORIA FAMILY HEALTH CLINIC,,NYANZA,BONDO,MADIANY,SOUTH UYOMA,NAYA,GPS,6,PRIV,"(-0.382786, 34.283985)"
,AGO CARE HEALTH SERVICES,,NYANZA,GUCHA,NYAMARAMBE,S. MUGIRANGO CHACHE,TABAKA,GPS,6,PRIV,"(-0.724, 34.6374)"
,AKEMO HOSPITAL,,NYANZA,GUCHA,NYACHEKI,BASSI BOGETAORIO,NYANGUSO,GPS,5,PRIV,"(-0.926824, 34.844097)"
32,ANNEX MEDICAL CLINIC,4761,NYANZA,GUCHA,KENYENYA,MAJOGE BORABU,KIANGO,GPS,6,PRIV,"(-0.91359, 34.79539)"
,AQUINAS MEDICAL CENTRE & LAB SERVICES,,NYANZA,GUCHA,OGEMBO,MAJOGE CHACHE,NYANSAKIA,GPS,6,PRIV,"(-0.81803, 34.7321)"
33,BEN ODERA CLINIC,,NYANZA,GUCHA,KENYENYA,MAGENCHE,MAGENCHE,GPS,6,PRIV,"(-0.94956, 34.72267)"
,EBURI PRIVATE CLINIC,,NYANZA,GUCHA,OGEMBO,SENGERA,NYAISERO,GPS,6,PRIV,"(-0.82473, 34.7042)"
34,EGUTUKI MEDICAL CLINIC,,NYANZA,GUCHA,OGEMBO,MAJOGE CHACHE,KANYIMBO,GPS,6,PRIV,"(-0.76818, 34.71833)"
35,EMBAKASI CLINIC,,NYANZA,GUCHA,KENYENYA,MAGENCHE,MAGENCHE,GPS,6,PRIV,"(-0.9541, 34.71282)"
36,EMBAKASI DISPENSARY (PRIVATE),,NYANZA,GUCHA,ETAGO,GETENGA,MUMA,GPS,6,PRIV,"(-0.93475, 34.66945)"
37,ENAMBA MEDICAL CLINIC,,NYANZA,GUCHA,NYAMARAMBE,S. MUGIRANGO CENTRAL,NYANSORE,GPS,6,PRIV,"(-0.77034, 34.63192)"
38,ENORIMA MED CLINIC,,NYANZA,GUCHA,ETAGO,CHITAGO,BOIGE,GPS,6,PRIV,"(-0.93334, 34.67031)"
,ENTAKANA CLINIC,,NYANZA,GUCHA,NYACHEKI,RIGENA,RIONTWEKA,GPS,6,PRIV,"(-0.898, 34.84002)"
,ESTHER NYOKABI CLINIC,,NYANZA,GUCHA,OGEMBO,MAJOGE CHACHE,NYANSAKIA,GPS,6,PRIV,"(-0.8208, 34.7336)"
39,ETONO  CLINIC,,NYANZA,GUCHA,NYAMARAMBE,S. MUGIRANGO CENTRAL,BOMONYAMA,GPS,6,PRIV,"(-0.80702, 34.62414)"
,GLORY CHURC CLINIC,,NYANZA,GUCHA,OGEMBO,MAJOGE CHACHE,BOOCHI,GPS,6,PRIV,"(-0.77407, 34.70271)"
40,GOOD SAMARITAN MED SERVICES,,NYANZA,GUCHA,ETAGO,GETENGA,NYATARO,GPS,6,PRIV,"(-0.84125, 34.63159)"
41,HIGHWAY MEDICAL CLINIC,,NYANZA,GUCHA,OGEMBO,MAJOGE CHACHE,NYANSAKIA,GPS,6,PRIV,"(-0.79961, 34.72489)"
42,IGARE RURAL HEALTH CLINIC,3038,NYANZA,GUCHA,SAMETA,BASSI BOINTANGARE,IGARE,ILRI VILLAGES,6,PRIV,"(-0.8, 34.8)"
43,IGORERA MEDICAL CLINIC,4760,NYANZA,GUCHA,KENYENYA,MAJOGE BORABU,KIANGO,GPS,6,PRIV,"(-0.90836, 34.79625)"
44,ITUMBE HEALTH CLINIC,,NYANZA,GUCHA,SAMETA,BASSI CHACHE,GIASAIGA,GPS,6,PRIV,"(-0.7566, 34.77528)"
45,KENYENYA MEDICAL CLINIC,4757,NYANZA,GUCHA,KENYENYA,MAJOGE MASABA,KENYENYA,GPS,6,PRIV,"(-0.88381, 34.73599)"
47,KERICHA MEDICARE,,NYANZA,GUCHA,SAMETA,MOKWERERO,KIONGONGI,GPS,6,PRIV,"(-0.75455, 34.77599)"
48,LIVING WATER CHRI CENTRE,,NYANZA,GUCHA,ETAGO,S. MUGIRANGO BORABU,NYAMONDO,GPS,6,PRIV,"(-0.94077, 34.6871)"
49,MAGENA MEDICAL AND SURGICAL COTTAGE,,NYANZA,GUCHA,KENYENYA,MAJOGE BORABU,KIANGO,GPS,6,PRIV,"(-0.91439, 34.7958)"
50,MAGENCHE MEDICAL CLINIC,,NYANZA,GUCHA,KENYENYA,MAGENCHE,MAGENCHE,GPS,6,PRIV,"(-0.94896, 34.72529)"
,MATUMAINI-NYAMAIYA CLINIC,,NYANZA,GUCHA,ETAGO,S. MUGIRANGO BORABU,MONIANKU,GPS,6,PRIV,"(-0.966248, 34.676198)"
,MESABAKWA CLINIC,,NYANZA,GUCHA,KENYENYA,MAGENCHE,MOKUBO,GPS,6,PRIV,"(-0.89387, 34.6985)"
51,MOGONGA MEDICAL CLINIC,,NYANZA,GUCHA,KENYENYA,MAJOGE BORABU,IGORERA,GPS,6,PRIV,"(-0.8633, 34.76276)"
52,MUSIABANO MEDICAL CLINICAL,,NYANZA,GUCHA,SAMETA,BASSI CHACHE,BOGETAORIO,GPS,6,PRIV,"(-0.7683, 34.74986)"
53,MWANGAZA MEDICAL CLINIC,,NYANZA,GUCHA,ETAGO,CHITAGO,AMAKARA,GPS,6,PRIV,"(-0.8996, 34.66034)"
54,NAZARETH MED CLINIC,,NYANZA,GUCHA,KENYENYA,MAGENCHE,MAGENCHE,GPS,6,PRIV,"(-0.94991, 34.72289)"
55,NAZARETH MED CLINIC AND COSMETICS,,NYANZA,GUCHA,KENYENYA,MAJOGE BORABU,IGORERA,GPS,6,PRIV,"(-0.88262, 34.75378)"
56,NYACHEKI MEDICAL CLINIC AND SURGERY,,NYANZA,GUCHA,NYACHEKI,BASSI BORABU,BOSANSA,GPS,6,PRIV,"(-0.88732, 34.88642)"
57,NYAGANCHA MEDICAL CLINIC,,NYANZA,GUCHA,KENYENYA,MAGENCHE,MOKUBO,GPS,6,PRIV,"(-0.92314, 34.70647)"
58,NYANGANCHA F.C MED. CLINIC,,NYANZA,GUCHA,KENYENYA,MAGENCHE,MOKUBO,GPS,6,PRIV,"(-0.923, 34.70655)"
,NYANSAKIA CLINIC,,NYANZA,GUCHA,SAMETA,BASSI CHACHE,GIASAIGA,GPS,6,PRIV,"(-0.75453, 34.7747)"
59,OGEMBO MEDICAL CENTRE (HOSPITAL),,NYANZA,GUCHA,OGEMBO,MAJOGE CHACHE,NYANSAKIA,GPS,5,PRIV,"(-0.79544, 34.72365)"
60,ROYAL HEALTH SERVICES,,NYANZA,GUCHA,NYACHEKI,BASSI BORABU,BOSANSA,GPS,6,PRIV,"(-0.89022, 34.87921)"
,SELIVA CLINIC,,NYANZA,GUCHA,NYAMARAMBE,S. MUGIRANGO CHACHE,TABAKA,GPS,6,PRIV,"(-0.74713, 34.6655)"
61,SHARBAB HEALTH CARE,,NYANZA,GUCHA,SAMETA,BASSI BOINTANGARE,IGARE,GPS,6,PRIV,"(-0.80108, 34.80261)"
62,ST FLOSAS MED CLINIC,,NYANZA,GUCHA,KENYENYA,MAJOGE MASABA,NYABITUMWA,GPS,6,PRIV,"(-0.91926, 34.75507)"
63,ST MARY'S MED CLINIC,4759,NYANZA,GUCHA,KENYENYA,MAJOGE MASABA,KENYENYA,GPS,6,PRIV,"(-0.88487, 34.7322)"
64,ST THOMAS MEDICAL CLINIC,,NYANZA,GUCHA,ETAGO,CHITAGO,BOIGE,GPS,6,PRIV,"(-0.93239, 34.66999)"
,ST. AGATHA NYABIGEGE CLINIC,,NYANZA,GUCHA,NYAMARAMBE,S. MUGIRANGO CHACHE,TABAKA,GPS,6,PRIV,"(-0.72435, 34.6384)"
,ST. JOHN'S PRIVATE CLINIC,,NYANZA,GUCHA,NYACHEKI,RIGENA,RIONTWEKA,GPS,6,PRIV,"(-0.8959, 34.83408)"
65,ST. ROYAL MEDICAL CLINIC,,NYANZA,GUCHA,SAMETA,BASSI BOINTANGARE,IGARE,GPS,6,PRIV,"(-0.80733, 34.80681)"
66,STEVENA MEDICAL CENTRE,,NYANZA,GUCHA,NYAMACHE,BASSI CENTRAL,NYOERA,GPS,6,PRIV,"(-0.84553, 34.84312)"
67,TABAKA MEDICAL CLINIC AND LAB. SERVICES,,NYANZA,GUCHA,NYAMARAMBE,S. MUGIRANGO CHACHE,TABAKA,GPS,6,PRIV,"(-0.74733, 34.66603)"
68,TOWN MEDICAL CLINIC,,NYANZA,GUCHA,OGEMBO,MAJOGE CHACHE,NYANSAKIA,GPS,6,PRIV,"(-0.82991, 34.7327)"
69,ZABO CLINIC,,NYANZA,GUCHA,OGEMBO,MAJOGE CHACHE,BOOCHI,GPS,6,PRIV,"(-0.79451, 34.72052)"
,ZION MEDICAL CLINIC,,NYANZA,GUCHA,NYACHEKI,BASSI BOGETAORIO,NYACHOGOCHOGO,,6,PRIV,
45,ACORN MEDICAL CLINIC,4576,NYANZA,HOMA BAY,,,,,,,
,,,,,,,,,6,PRIV,
